id,account_id,start_date,end_date
5622f71b-51e5-4b74-9617-1b860ff18055,194de40b-4c88-40be-8bc3-535afea06305,2023-02-26,2024-02-26
997beea1-1347-4f4a-bb6f-c385ff8d174e,8ff753b5-b35b-48c1-b2b4-c126ffac70c6,2023-02-06,2024-02-06
a643b4fd-14de-4701-969c-f96c2904c7dd,20f71b24-c7b0-4ba5-8b46-dc965fc29ce7,2023-03-11,2024-03-10
254629de-f2f1-478d-af83-e2faba8a4e61,20f71b24-c7b0-4ba5-8b46-dc965fc29ce7,2024-06-24,2025-06-24
5d01540e-5fcf-4e89-9574-7847c02d5f0c,1d6179e5-75b4-4524-bc1f-a62ab8a372af,2023-04-17,2024-04-16
26d136fd-160e-41b4-9209-c0cb96332cae,fee34b31-77bd-4cc0-aae6-6ed77d67069b,2023-01-31,2024-01-31
1bcb8d42-7ed8-4fce-94ae-fe60a1a13478,6f5cbbed-4439-427a-8080-46c2b7c43993,2023-02-05,2024-02-05
fe83a495-d92c-41df-9edd-ac71b1843f5b,f0561022-3442-4547-94da-a445017429c6,2022-05-22,2023-05-22
a99e368f-f74e-4b44-890a-28d557b88db2,d16ad1e8-c73e-4e54-bed3-204ed2723bce,2022-12-11,2023-12-11
0dd5bb33-461b-4986-8ad5-cae425a3aafa,a8b86a37-d890-4446-9659-00dba47acfff,2023-03-23,2024-03-22
e328c85e-3161-40ef-94c7-f4edef7f56cc,a8b86a37-d890-4446-9659-00dba47acfff,2023-01-14,2024-01-14
a03d04a1-504a-4952-bf61-b92b26d9f992,8ca855ac-42fe-443f-babd-1f2869afe825,2023-01-21,2024-01-21
06f9c75a-68b9-4c97-bb8d-88955b3e9bf6,e608df8d-2c9b-4b81-93ea-7c67677ab058,2023-03-12,2024-03-11
7aaaa23f-0d0e-4f25-bfc5-22b611aafcfc,e608df8d-2c9b-4b81-93ea-7c67677ab058,2023-03-19,2024-03-18
362c5085-6fb9-4d3b-8e5a-163db9aa98e9,e6e02d69-5f4a-4432-ba0e-45010498525a,2023-02-17,2024-02-17
06bd990c-2c11-4a21-8c1b-826af52e602e,08d71c63-a356-44bc-bb78-dec3b41f08b6,2023-02-19,2024-02-19
3265808b-ef57-489d-a9ae-2d229b528210,28a8d410-5e43-4272-b917-9681e4da5563,2023-01-29,2024-01-29
abd36155-7194-4d56-94ab-82a8b808999c,79da80e7-9112-4246-bb10-64a0830fef90,2023-05-15,2024-05-14
09af9211-17cb-4f04-8ced-e48d59d1c0e4,8752cd61-855d-46da-b239-854cf3f791d1,2023-01-19,2024-01-19
84a946c7-cec0-4c79-98d9-863085afd8c0,8cae6fc6-ec22-4346-acdd-6b135dd29d67,2023-03-28,2024-03-27
40442875-8e06-4850-b6b2-9eba0e580d57,bb207f54-0d98-4c66-ba26-af8eb5b532ec,2023-03-22,2024-03-21
140d53bb-1d18-472f-8105-bf4c8258c3c8,bb207f54-0d98-4c66-ba26-af8eb5b532ec,2022-12-19,2023-12-19
d5ee4073-6b98-43c4-ac88-65fa274a885b,0686569a-fa59-4db2-a213-a18d7b0063e5,2023-05-12,2024-05-11
6909696f-83d2-471d-b621-fa0e489aaaf1,851a7968-bb18-4b8c-b784-47c1dfa24d1b,2023-05-29,2024-05-28
40814637-7168-42e9-b4e0-6ab19e74d56e,4eabffaf-390d-48d7-b875-fc2674aff563,2022-05-03,2023-05-03
4ededf36-7b38-4b80-8631-a73f8e9da1db,282d806f-3281-4fc1-902e-ef1b2bac416f,2023-04-30,2024-04-29
c0d2e05c-7bfd-4f4d-ae55-9d6ed0b87220,59af6566-8c4d-474d-84f7-2a2264a1ca64,2024-08-08,2025-08-08
7f1d3e7c-9c04-4f9c-b8b6-9f7ab0812d48,b0b8d4f6-2cd0-4e20-8ab6-f156ce9ecaf7,2023-01-15,2024-01-15
2cb337a0-25c6-44d4-b9f4-c5849f16b1ad,b0b8d4f6-2cd0-4e20-8ab6-f156ce9ecaf7,2023-04-02,2024-04-01
c908f3d1-630d-4353-ab9f-cfc10af714fd,f43808d1-9306-4be0-b1ad-b39d9b478d08,2023-04-03,2024-04-02
d8e7b557-f79f-4286-9fbb-05c6a63599cf,4b4b3a41-9b55-4f6c-b2f2-9a1a5e677c4f,2023-05-24,2024-05-23
34e87bab-3daa-4352-8734-4d689508c5c2,4b4b3a41-9b55-4f6c-b2f2-9a1a5e677c4f,2023-03-08,2024-03-07
9e04ce63-a8c1-4a2e-ac9e-3443117ae728,b31e733f-8772-4d9a-a220-4cf8526ee907,2023-01-11,2024-01-11
cd962339-6ddc-4898-90af-4d4149e69cc2,c5d78a3c-d4cf-495c-a2df-bc6dc7a012b6,2023-01-26,2024-01-26
00f9ed43-f290-4770-a5d6-409326bbfdb2,543d7ca1-ec9a-4fde-ab43-bbaeb2c453d1,2023-04-30,2024-04-29
b8ca43a3-6048-4063-8856-d3706e5aa5f1,428df0b0-287b-4171-a7ec-9a221b6b7707,2022-04-09,2023-04-09
c1029241-1dd8-4e68-9a9c-a434bda5aa7a,049060e5-6313-43a2-843a-5812765b66c2,2023-03-05,2024-03-04
6b90ddf2-b28c-4e19-ad30-c0faf9e05894,d6aaae53-42e4-4fac-9804-ab3b8e4b7a91,2023-01-29,2024-01-29
c94eb339-a3cd-4142-af27-5b8238e99a0f,d6aaae53-42e4-4fac-9804-ab3b8e4b7a91,2023-03-14,2024-03-13
e95f9bd0-109a-4544-a36d-b4f948ee23d7,4d06dd16-fafb-4ffd-aa05-2d9af316eb9a,2023-05-09,2024-05-08
79b419cc-50c8-4b23-a637-0eb91a7e0c79,ea1829bd-c378-4ca5-a82a-cb7e48595e3f,2023-01-08,2024-01-08
ec9de785-855f-4093-baab-d8c1ff757470,47b99941-2c78-4a1e-b46d-c5a730e6750d,2023-05-28,2024-05-27
667c3211-f461-499f-aa14-38561b1221ce,47b99941-2c78-4a1e-b46d-c5a730e6750d,2024-04-13,2025-04-13
02d394cf-1629-4b1c-803f-0d24afe52cd6,31bdea5c-08f7-4144-834c-7fbe118afd5f,2023-05-08,2024-05-07
20d6e95d-6539-4e0b-871b-94cfd0580677,a8349604-e194-4fb6-b265-338e806c4686,2023-03-05,2024-03-04
8859af5f-0afc-4191-b67b-5d9033107b50,5d9fb4de-dd82-4787-96d3-c55a2a99bd6b,2024-07-21,2025-07-21
ba4dd5f8-3251-45e5-8a5a-bf67a515f8c7,130d9dfe-bcf6-491f-89bd-30600d51803d,2023-03-02,2024-03-01
f2586a08-bbb2-4614-9575-b30ffb1f3111,591fa3d1-c24c-4005-82b4-62f63ceedee0,2023-05-17,2024-05-16
7f78fa64-2b3d-43cc-875d-a38a251d8d0a,7df9546d-9548-47cd-8e97-3ba6cb86360b,2024-05-05,2025-05-05
99a2a027-f0bd-4943-a9a4-56a69489e4be,3de6fc6a-bf42-4d53-a64f-f7121347dc0f,2023-03-22,2024-03-21
744178aa-91d0-4b98-9fd5-facc8074b2b2,3de6fc6a-bf42-4d53-a64f-f7121347dc0f,2023-03-04,2024-03-03
fd65344e-388a-4588-a9a4-0bc80f72ed6e,7c639590-9cac-4b06-a56b-9a8d501a0256,2023-02-23,2024-02-23
76835e70-9033-40ca-a3d9-eef0fadaedb0,341b28da-eaad-4368-b858-16a5d927fd5e,2023-01-22,2024-01-22
7153425c-8082-45bf-9da3-1fb69d242f14,224d9210-9a46-4409-a361-d2d4e69cfa29,2023-03-21,2024-03-20
2462a1a7-42d1-48f7-b7ff-efc4614acbb5,224d9210-9a46-4409-a361-d2d4e69cfa29,2023-04-05,2024-04-04
b0bb0f60-20b3-4cb2-9668-77b1d55f1298,abcc50a7-c8b7-4325-9fc7-1612ad77a849,2023-01-10,2024-01-10
5c877cda-2bc7-4bdf-8047-bde30e252f57,64157a31-a5da-4057-a914-faeca0493bd5,2023-01-06,2024-01-06
32926d72-d52b-4df4-91a6-a12c1094610f,613afe2f-70c2-4518-b560-a7ddfa555450,2022-05-06,2023-05-06
b583de28-c9a4-4beb-a89a-bfaa349da954,613afe2f-70c2-4518-b560-a7ddfa555450,2022-04-30,2023-04-30
ecaf2bbf-5cef-4c55-a494-305280dc89e0,2d42c7b3-9706-42b0-99f7-c71354d6c16c,2022-05-23,2023-05-23
857e84a2-9911-4674-a46f-ba85c0db361d,2d42c7b3-9706-42b0-99f7-c71354d6c16c,2023-05-06,2024-05-05
8f97c32c-eb4d-452a-a9ed-c81fd79ea891,7e8415c0-9185-422f-a4e7-28b472380353,2022-04-26,2023-04-26
573ad7d7-fc42-47e3-bbe1-d7bf09a62619,7e8415c0-9185-422f-a4e7-28b472380353,2023-05-27,2024-05-26
397191e0-e23d-4ea5-b9b5-831ea7363a71,5903601d-0bca-459f-906a-5f164fc48c22,2023-01-05,2024-01-05
879aa7a3-0de0-4bfd-954b-41838b5a0751,5863e179-a541-4c14-a2e9-ae7963e3bed5,2024-10-30,2025-10-30
fb25b8b0-e0ba-4856-870b-0ba23bc767c1,fd387c1c-5c20-43bd-b7d1-bc6e2fba791f,2023-02-04,2024-02-04
b6e17791-d6ac-42e0-87a0-e58554d4adc2,ad8d1252-c0c5-49e6-9bc8-e75855856ef8,2022-12-24,2023-12-24
b48d3699-778f-4fbf-a3cc-16ebf78b3ab6,ad8d1252-c0c5-49e6-9bc8-e75855856ef8,2022-12-22,2023-12-22
b4fade46-4461-461f-bb0a-3573e41970f9,88f22176-50fd-402a-be46-c9503f78a014,2023-02-07,2024-02-07
7d8ddbb6-c828-483c-b6b7-5b2c7b8fb2fc,51cbc859-dbd2-4231-95ba-31d0abfde75f,2023-04-04,2024-04-03
dbb55b70-48d8-4a2b-99e3-ac0d21dc5eec,51cbc859-dbd2-4231-95ba-31d0abfde75f,2022-12-04,2023-12-04
8884f42c-48d3-4323-bfcb-04cd95cd9437,cace5ea3-1b3a-4e1f-b36f-6c3ea5583dcb,2023-01-29,2024-01-29
63dd2cbe-aea7-4622-a391-e940533734d1,fa39bde6-a162-46a0-9016-fd8614648519,2023-03-10,2024-03-09
95b5b038-4c97-411a-a35d-9cd25158d6e1,bdd0c4fc-d384-4187-8663-efcd0fb6298f,2022-12-15,2023-12-15
61347100-f472-45bd-a75c-7c81c15072ac,abed3905-b853-46c5-a838-892f9ea6d330,2023-03-07,2024-03-06
1b82313d-40f4-4d9b-bc14-a4d6a427f012,abed3905-b853-46c5-a838-892f9ea6d330,2023-01-09,2024-01-09
9c30f275-4f55-4b78-9897-5f394a8cc0fb,96b53273-ad10-4054-ba17-b84c2241ab9a,2023-01-08,2024-01-08
13e5962a-5055-472d-a9eb-7ebca127d66f,2666bc28-74a6-43b9-86ea-0fb2bfa77b4b,2023-05-05,2024-05-04
2dc863f6-d446-44c6-8a04-17ef704aedc5,6933a19c-53a2-4c84-9c07-843e14dde8e8,2023-01-22,2024-01-22
83263d20-2b89-4dac-8a7d-a9ebe5dd1eec,6933a19c-53a2-4c84-9c07-843e14dde8e8,2023-02-06,2024-02-06
16daba4e-e788-4300-b2f2-9b6598df30ed,018051c4-32a8-44b9-8cf1-60cbc774ce08,2023-01-08,2024-01-08
2b6cc350-e73f-4882-ace8-030a434132dc,fd856dfd-c0e5-4306-b4e5-6f8ed40dfc64,2023-04-28,2024-04-27
813c48e6-19c5-4857-b6cb-f70d79c5813d,77034199-91f5-4a56-8412-dc15688c8ec7,2023-01-28,2024-01-28
a156c674-a42d-4538-ae8b-2ae40bdc3d56,a6ad6dc3-eb51-450c-b7f8-0db09089c440,2023-01-22,2024-01-22
